Instances,Source,feature_efferent_coupling,feature_cyclomatic_complexity,feature_ck_loc,feature_ck_tryCatchQty,feature_ck_maxNestedBlocksQty,feature_avg_radius,feature_avg_avg_shortest_path_length,feature_std_wmc,feature_per_methods_cc_ge_10,algo_MOSA_BranchCoverage,algo_DYNAMOSA_BranchCoverage,algo_MONOTONIC_GA_BranchCoverage,algo_RANDOM_SEARCH_BranchCoverage,algo_MIO_BranchCoverage,algo_WSA_BranchCoverage
Collections_org.apache.commons.collections4.set.UnmodifiableSortedSet,Collections,3,1.07142857142857,53,0,1,1.07142857142857,0.507142857142857,0.257539376818856,0,0.2,0.171428571428571,0.042857142857143,0,0.157142857142857,0
wheelwebtool_wheel.asm.ClassReader,SF110-cc5,12,8.35714285714286,1298,0,9,2.28571428571429,1.31215217618414,42.3829119397169,17.8571428571429,0.530752753977968,0.518971848225214,0.126070991432069,0.016156670746634,0.490208078335373,0.475724194206446
vuze_org.gudy.azureus2.core3.util.ED2KHasher,SF110-cc3,1,3,56,0,3,1.75,1.09577505827506,2,0,1,1,1,1,1,1
lilith_de.huxhorn.lilith.consumers.RrdLoggingEventConsumer,SF110-cc3,16,3,172,3,6,2.6,6.23199195207591,4.9152822909778,20,0.615384615384615,0.615384615384615,0.275641025641026,0.221153846153846,0.614269788182832,0.615384615384615
Collections_org.apache.commons.collections4.trie.KeyAnalyzer,Collections,0,1.63636363636364,32,0,1,2,0.701851851851852,0.9,0,1,1,1,1,1,1
Collections_org.apache.commons.collections4.map.FixedSizeSortedMap,Collections,5,1.11764705882353,62,0,1,1.23529411764706,0.550534759358289,0.322189739708921,0,0.857142857142857,0.838095238095238,0.390476190476191,0.190476190476191,0.866666666666667,0.885714285714286
lilith_de.huxhorn.lilith.swing.table.renderer.LoggerNameRenderer,SF110-cc5,5,7.5,55,0,3,2.5,1.16576086956522,6,50,0.844444444444444,0.837962962962963,0.48559670781893,0.314814814814815,0.822222222222222,0.703703703703704
jdbacl_org.databene.jdbacl.model.DBNotNullConstraint,SF110-cc3,6,3.33333333333333,20,0,1,2,0.741880341880342,1.24721912892465,0,0.826666666666667,0.84,0.573333333333333,0.146666666666667,0.786666666666667,0.76
wheelwebtool_wheel.util.LinkToDomain,SF110-cc3,3,3.75,115,1,3,2,0.816650940592588,5.53257399408268,12.5,0.69811320754717,0.69811320754717,0.29811320754717,0.260377358490566,0.709433962264151,0.649056603773585
Collections_org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator,Collections,5,1,26,0,0,1,0.5,0,0,0.25,0.25,0.075,0.075,0.25,0.05
dcparseargs_de.devcity.parseargs.ArgsParser,SF110-cc5,3,5,130,0,8,2.11111111111111,0.982284362284362,6.62952617341169,22.2222222222222,0.975,0.975,0.66375,0.71125,0.95875,0.975
vuze_org.gudy.azureus2.ui.swt.Messages,SF110-cc5,30,6.45454545454545,210,2,14,2.4,0.919991937260024,9.4847245611035,30,0.100549725137431,0.041379310344828,0,0.002586206896552,0.041379310344828,0.105776981639051
vuze_com.aelitis.azureus.core.devices.impl.DeviceOfflineDownloaderImpl,SF110-cc3,56,3.97222222222222,935,17,12,2.16666666666667,3.05657980772102,17.307801709056,6.66666666666667,0.005263157894737,0.002631578947368,0,0,0.004736842105263,0.005263157894737
Collections_org.apache.commons.collections4.multiset.AbstractMapMultiSet,Collections,6,1.79166666666667,290,0,2,1.80952380952381,0.826471280042708,1.64130361329658,0,0.873684210526316,0.856842105263158,0.16,0.122105263157895,0.848421052631579,0.833684210526316
jiggler_jigl.signal.utils.FFT,SF110-cc4,5,4.42857142857143,169,1,7,2.16666666666667,5.18804770511557,8.0862695417628,14.2857142857143,0.87037037037037,0.87037037037037,0.576388888888889,0.619341563786008,0.87037037037037,0.87037037037037
weka_weka.core.Utils,SF110-cc3,5,3.59493670886076,1202,7,5,2.61538461538462,2.97499865140471,3.59709783509105,10.3896103896104,0.909441233140655,0.913937058445729,0.367533718689788,0.539980732177264,0.914258188824663,0.911368015414258
freemind_freemind.modes.mindmapmode.attributeactors.ImportAttributesDialog,SF110-cc3,16,3.27272727272727,260,0,4,2.66666666666667,1.44534573088495,2.07869854820775,0,0.013333333333333,0.010666666666667,0,0,0.013333333333333,0.013333333333333
jsecurity_org.jsecurity.codec.Base64,SF110-cc4,1,4.28571428571429,242,0,3,2,1.00805901379079,6.13265582399838,7.69230769230769,0.91764705882353,0.926797385620915,0.81764705882353,0.671764705882353,0.964705882352941,0.955294117647059
firebird_org.firebirdsql.encodings.EncodingFactory,SF110-cc5,36,7.2,237,4,33,2.57142857142857,1.44085603269873,11.3517497427587,13.3333333333333,0.964102564102564,0.964102564102564,0.58974358974359,0.617948717948718,0.964102564102564,0.964102564102564
vuze_org.bouncycastle.util.IPAddress,SF110-cc4,0,4.2,60,2,2,2.75,2.68622286079183,3.77123616632825,0,0.842424242424242,0.544810058313952,0.441558441558442,0.416666666666667,0.818181818181818,0.896103896103896
jopenchart_de.progra.charting.render.PlotChartRenderer,SF110-cc3,4,3.5,31,0,3,2.5,1.94485294117647,2.5,0,0.872727272727273,0.909090909090909,0.590909090909091,0.381818181818182,0.909090909090909,0.909090909090909
Collections_org.apache.commons.collections4.FluentIterable,Collections,7,1.05882352941176,112,0,1,1.08823529411765,0.510294117647059,0.235294117647059,0,1,1,0.897142857142857,0.954285714285714,1,1
Collections_org.apache.commons.collections4.functors.FunctorUtils,Collections,6,2.36363636363636,77,0,2,2,0.674242424242424,1.29844153246234,0,1,1,0.503030303030303,0.739393939393939,1,1
weka_weka.estimators.KKConditionalEstimator,SF110-cc3,6,3.11111111111111,164,1,3,1.88888888888889,3.25986802517629,2.67129228448251,0,0.978260869565217,0.978260869565217,0.847826086956522,0.880434782608696,0.978260869565217,0.978260869565217
Collections_org.apache.commons.collections4.functors.FactoryTransformer,Collections,2,1.25,20,0,1,1.5,0.5625,0.433012701892219,0,1,1,1,1,1,1
weka_weka.attributeSelection.CheckAttributeSelection,SF110-cc3,19,3.91176470588235,587,8,6,2.26470588235294,3.25032234002616,5.76888840782101,18.1818181818182,0.903925619834711,0.896694214876033,0.399449035812672,0.245867768595041,0.901652892561983,0.90495867768595
lilith_de.huxhorn.lilith.swing.callables.CallableMetaData,SF110-cc3,6,3.5,61,0,2,2.25,0.964102564102564,0.942809041582063,0,0.952380952380952,0.952380952380952,0.869047619047619,0.920634920634921,0.928571428571429,0.952380952380952
Collections_org.apache.commons.collections4.functors.DefaultEquator,Collections,1,1.66666666666667,20,0,0,1.6,0.65,0.8,0,0.82,0.8,0.54,0.82,0.82,0.88
wheelwebtool_wheel.asm.Label,SF110-cc3,4,3.27272727272727,156,0,4,2.36363636363636,1.02192088956795,2.89199522192489,9.09090909090909,0.992307692307692,0.996153846153846,0.411538461538461,0.207692307692308,0.919230769230769,0.942307692307692
Collections_org.apache.commons.collections4.ArrayStack,Collections,0,1.625,50,0,2,1.625,0.675,1.58113883008419,0,1,1,0.98,1,1,1
sweethome3d_com.eteks.sweethome3d.HomeFramePane,SF110-cc3,21,3.1,217,1,4,2.33333333333333,1.47755595886267,4.18993502999218,33.3333333333333,0.025,0.025,0,0,0.025,0.025
vuze_com.aelitis.azureus.ui.swt.skin.SWTSkin,SF110-cc4,59,4.44615384615385,1228,11,7,2.84615384615385,1.77953573875483,8.40415449019765,9.67741935483871,0.023673469387755,0.007619047619048,0,0.030555555555556,0.080188868796464,0.007619047619048
vuze_org.gudy.azureus2.platform.PlatformManagerFactory,SF110-cc3,9,3,49,2,4,1.66666666666667,1.9460446960447,2.5,0,0.43421052631579,0.578947368421053,0.526315789473684,0.613237639553429,0.62327694235589,0.578947368421053
Collections_org.apache.commons.collections4.set.MapBackedSet,Collections,0,1.27777777777778,72,0,1,1.5,0.628086419753086,0.558326423395605,0,1,1,1,1,1,1
jiggler_jigl.signal.ops.morph.GErode,SF110-cc3,8,3,79,1,4,2.16666666666667,4.20026240815715,2.73353657780945,0,1,1,1,1,1,1
Collections_org.apache.commons.collections4.bag.SynchronizedBag,Collections,3,1.1,55,0,1,2.2,1.32911262238756,0.3,0,1,1,0.916666666666667,0.866666666666667,1,1
vuze_org.gudy.azureus2.ui.swt.BlockedIpsWindow,SF110-cc4,33,4,191,1,2,3,1.43065299736495,2.58602010819715,0,0.156798841209488,0.259018759018759,0.021428571428572,0.019047619047619,0.171428571428571,0.171428571428571
Collections_org.apache.commons.collections4.set.AbstractSortedSetDecorator,Collections,1,1,30,0,0,1,0.5,0,0,0.333333333333333,0.333333333333333,0.133333333333333,0.088888888888889,0.333333333333333,0.333333333333333
Collections_org.apache.commons.collections4.list.SetUniqueList,Collections,5,1.65,182,1,2,1.8,0.719290293040293,0.92736184954957,0,1,0.996428571428571,0.721428571428571,0.646428571428571,1,1
vuze_org.gudy.azureus2.core3.util.AEMonSem,SF110-cc5,10,9.85714285714286,382,4,11,3.6,21.901094208606,11.977989072554,33.3333333333333,0.521613095238095,0.499489795918367,0.101022727272727,0.19611013986014,0.565625,0.466621994801819
freemind_accessories.plugins.SplitNode,SF110-cc4,6,4,108,1,5,2.4,5.82378055802248,3.00665927567458,0,0.028571428571429,0.028571428571429,0.003174603174603,0,0.025396825396825,0.028571428571429
vuze_org.gudy.azureus2.ui.swt.views.piece.PieceInfoView,SF110-cc4,50,4.52631578947368,472,1,6,2.125,6.35618412008004,11.0594981802973,12.5,0.345794392523364,0.182242990654206,0,0,0.164045741473971,0.231621728076772
gsftp_mindbright.ssh.SSHSCPGUIThread,SF110-cc3,8,3.64285714285714,324,0,3,2.57142857142857,1.27864821979752,3.71703195178791,7.14285714285714,0.764835164835165,0.764835164835165,0.081318681318681,0.10989010989011,0.740659340659341,0.72967032967033
vuze_org.gudy.azureus2.core3.internat.IntegratedResourceBundle,SF110-cc3,8,3.17391304347826,321,7,5,2.52631578947368,2.99747696429305,3.75569742629711,10.5263157894737,0.497581000295588,0.865044247787611,0.267528931245745,0.150442477876106,0.650404979751013,0.546579611893441
jhandballmoves_visu.handball.moves.actions.SaveAction,SF110-cc4,5,4.66666666666667,60,1,3,2.33333333333333,3.29934920152311,3.39934634239519,0,0.04,0.04,0,0,0.04,0.04
Collections_org.apache.commons.collections4.collection.CompositeCollection,Collections,4,1.68,159,0,2,1.76,0.810260073260073,1.00717426496113,0,1,1,0.926666666666667,0.95,1,1
lilith_de.huxhorn.lilith.swing.table.tooltips.MessageTooltipGenerator,SF110-cc5,5,5.5,53,0,7,3,1.5995670995671,0,100,0.095238095238095,0.095238095238095,0.013605442176871,0,0.095238095238095,0.074074074074074
firebird_org.firebirdsql.jdbc.FBConnectionHelper,SF110-cc3,5,3.22222222222222,136,4,3,2,1.35113431889748,5.02493781056045,12.5,0.667857142857143,0.682142857142857,0.160714285714286,0.2,0.617857142857143,0.671428571428571
javathena_org.javathena.core.utiles.Constants,SF110-cc5,1,7.33333333333333,207,0,3,1.5,0.625,0,0,0.588235294117647,0.588235294117647,0.105882352941176,0.188235294117647,0.588235294117647,0.588235294117647
Collections_org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator,Collections,4,1,26,0,0,1,0.5,0,0,0.375,0.375,0.075,0.125,0.375,0.375
Collections_org.apache.commons.collections4.map.AbstractLinkedMap,Collections,13,1.69230769230769,265,0,3,1.52173913043478,0.592753623188406,1.42353961249956,0,0.891111111111111,0.862222222222222,0.224444444444444,0.122222222222222,0.786666666666667,0.783333333333333
freemind_freemind.view.mindmapview.ConvexHull,SF110-cc4,1,4.25,93,0,2,2.25,1.13696836788942,2.49443825784929,0,0.951086956521739,0.97584541062802,0.819565217391304,0.719806763285024,0.975845410628019,0.960144927536232
Collections_org.apache.commons.collections4.keyvalue.TiedMapEntry,Collections,1,2.57142857142857,40,0,1,1.85714285714286,0.738640456182473,1.4142135623731,0,1,1,0.923076923076923,0.776923076923077,1,0.984615384615385
lilith_de.huxhorn.lilith.swing.table.renderer.ApplicationRenderer,SF110-cc5,8,8,63,0,4,2.5,1.16137566137566,7.5,50,0.835497835497836,0.818181818181818,0.472727272727273,0.36969696969697,0.727272727272727,0.754208754208754
vuze_org.gudy.azureus2.core3.config.impl.ConfigurationChecker,SF110-cc5,18,12.75,449,7,5,1.85714285714286,15.7156065338599,29.9262983566851,33.3333333333333,0.077511961722488,0.078149920255183,0.001913875598086,0.001913875598086,0.077511961722488,0.057894736842105
vuze_org.gudy.azureus2.ui.swt.maketorrent.BYOPanel,SF110-cc4,43,4.26666666666667,395,1,8,2.91666666666667,1.66604296066253,4.2882267767562,25,0.02931217512263,0.005747126436782,0,0,0.005747126436782,0.005747126436782
Collections_org.apache.commons.collections4.bidimap.DualTreeBidiMap,Collections,9,1.25,199,0,1,1.1,0.519444444444444,0.9,0,0.387096774193548,0.387096774193548,0,0.045161290322581,0.509677419354839,0
openhre_com.browsersoft.openhre.hl7.impl.parser.XMLUtils,SF110-cc4,0,4.33333333333333,40,0,3,2.5,2.20263157894737,4,50,0.55,0.55,0.377777777777778,0.3,0.55,0.57
